	Pressure	Loading	P_rel	BETy	BET_y2	phi
0	1	0.840516579	1e-05	1.1897564248997413e-05	0.8405081738342101	-6.999407040872303
1	5	0.856914327	5e-05	5.835180781731317e-05	0.85687148128365	-6.138395076295841
2	10	0.877571175	0.0001	0.000113962267505083	0.8774834178825001	-5.846383535677127
3	20	0.919942172	0.0002	0.0002174484593599002	0.9197581835656	-5.667431755802038
4	30	0.963790232	0.0003	0.00031136446193833433	0.9635010949304	-5.654903227997971
5	40	1.008209041	0.0004	0.00039690188021792417	1.0078057573836001	-5.705730519132911
6	50	1.054743685	0.0005	0.0004742859636675911	1.0542163131575002	-5.798843204881156
7	60	1.104257566	0.0006	0.0005436777022089045	1.1035950114604	-5.9254384813401835
8	70	1.1530175	0.0007	0.000607527937121742	1.15221038775	-6.0585225440299775
9	80	1.204659066	0.0008	0.0006646200032913943	1.2036953387472	-6.213520007530582
10	90	1.257456482	0.0009	0.0007163752722670294	1.2563247711662	-6.37871570529228
11	100	1.315481674	0.001	0.0007609387654616624	1.314166192326	-6.572809094679917
12	150	1.635946936	0.0015	0.0009182775718527982	1.6334930155960001	-7.694224109838374
13	200	2.047910899	0.002	0.0009785621127416364	2.0438150772020003	-9.20564189901267
14	250	2.643745115	0.0025	0.0009479982203807875	2.6371357522125005	-11.457288497456016
15	300	3.788037766	0.003	0.0007943498104088678	3.776673652702	-15.916795615062142
16	350	11.18416474	0.0035	0.0003140416032167247	11.14502016341	-45.74723467589423
17	400	13.07135971	0.004	0.0003072415070909339	13.01907427116	-52.204031303013565
18	450	13.96546915	0.0045	0.0003236798913351308	13.902624538825002	-54.585118194999275
19	500	14.78127405	0.005	0.00033996566271232237	14.70736767975	-56.647286412305085
20	550	15.64273495	0.0055	0.0003535454198259095	15.556699907775	-58.87031847545513
21	600	16.41357532	0.006	0.000367757614422239	16.315093868079998	-60.73830181788093
22	650	17.04247844	0.0065	0.00038389524415565683	16.931702330140002	-62.07885571563267
23	700	17.65337111	0.007	0.0003993200717302249	17.529797512229997	-63.35780584536991
24	750	18.12231823	0.0075	0.0004169816999716316	17.986400843275003	-64.13648097107719
25	800	18.52772357	0.008	0.0004352675113358386	18.37950178144	-64.70633733175117
26	850	18.87736876	0.0085	0.00045413476310209104	18.71691112554	-65.09965113759495
27	900	19.19750888	0.009	0.00047306844223141034	19.02473130008	-65.40997583114422
28	950	19.46468757	0.0095	0.0004927443897411981	19.279773038085	-65.55908917662197
29	1000	19.72107326	0.01	0.0005121937314384329	19.523862527400002	-65.69094410669679
30	1500	21.15359195	0.015	0.0007198978987556337	20.836288070749998	-64.25873751612406
31	2000	21.92689078	0.02	0.0009307367592636918	21.4883529644	-62.045133908464926
32	2500	22.62769622	0.025	0.0011331699609066807	22.0620038145	-60.37596370885037
33	3000	24.15848201	0.03	0.0012802060592525778	23.4337275497	-61.27452155167625
34	3500	26.01955779	0.035	0.0013939295334893344	25.10887326735	-63.093693411191616
35	4000	26.59400286	0.04	0.0015667692782472186	25.5302427456	-61.91804094943886
36	4500	26.91188986	0.045	0.0017509145248919928	25.700854816299998	-60.36542055987421
37	5000	27.27442416	0.05	0.001929704496733486	25.910702951999998	-59.10005174668747
38	5500	27.57250405	0.055	0.0021108368719618778	26.05601632725	-57.845114711124474
39	6000	27.90905089	0.06	0.00228706405981413	26.2345078366	-56.79465657401738
40	6500	28.31310898	0.065	0.0024553543952607676	26.4727568963	-55.9776858585745
41	7000	28.6812851	0.07	0.002624318155266379	26.673595143	-55.16818375982013
42	7500	29.11550905	0.075	0.002784807263436154	26.93184587125	-54.55043534063754
43	8000	29.63325256	0.08	0.002934423805252731	27.2625923552	-54.137137017540866
44	8500	30.22182849	0.085	0.0030738105371131363	27.65297306835	-53.88715554132917
45	9000	32.97140051	0.09	0.002999602606237574	30.003974464100004	-57.42663122882423
46	10000	34.16783389	0.1	0.0032519214261232505	30.751050500999998	-56.90656985863483
47	70000	35.84909535	0.7	0.06508764895048692	10.754728605	-9.248686854413425
48	80000	35.99703254	0.8	0.1111202706932909	7.199406507999998	-5.8100559418178825
49	90000	35.96774027	0.9	0.25022422683325285	3.596774026999999	-2.741071181881818
50	100000	36.04297423	1.0	inf	0.0	0.0
