Pressure (Pa)	Loading (mol/kg)
450	13.96546915
500	14.78127405
550	15.64273495
600	16.41357532
650	17.04247844
700	17.65337111
750	18.12231823
800	18.52772357
850	18.87736876
900	19.19750888
950	19.46468757
1000	19.72107326
1500	21.15359195
2000	21.92689078
2500	22.62769622
3000	24.15848201
3500	26.01955779
4000	26.59400286
4500	26.91188986
5000	27.27442416
5500	27.57250405
6000	27.90905089
6500	28.31310898
7000	28.6812851
7500	29.11550905
8000	29.63325256
8500	30.22182849
9000	32.97140051
10000	34.16783389
70000	35.84909535
80000	35.99703254
90000	35.96774027
100000	36.04297423
