ESWMinima	None
Con1Maxima	79
Pressure	Loading
0.01	0.19787236730000002
0.01	0.19787236730000002
0.01	0.19787236730000002
0.01	0.19787236730000002
0.02	0.3600300526
0.02	0.3600300526
0.02	0.3600300526
0.04	0.5921783534
0.04	0.5921783534
0.04	0.5921783534
0.05	0.6948811971
0.05	0.6948811971
0.05	0.6948811971
0.05	0.6948811971
0.06	0.776803186
0.06	0.776803186
0.06	0.776803186
0.08	0.936924276
0.08	0.936924276
0.08	0.936924276
0.1	1.0648259811
0.1	1.0648259811
0.1	1.0648259811
0.1	1.0648259811
0.2	1.6219896347
0.2	1.6219896347
0.2	1.6219896347
0.4	2.1399820935
0.4	2.1399820935
0.4	2.1399820935
0.5	2.2981480221
0.5	2.2981480221
0.5	2.2981480221
0.5	2.2981480221
0.6	2.401443475
0.6	2.401443475
0.6	2.401443475
0.8	2.5446473926
0.8	2.5446473926
0.8	2.5446473926
1.0	2.6373426396
5.0	3.0541150248
10.0	3.1636512896
20.0	3.242795215
30.0	3.2868405126
40.0	3.3137041336
50.0	3.3373957821
60.0	3.3509402449000003
70.0	3.3714534362
80.0	3.381962689
90.0	3.3931898402
100.0	3.4063014854
150.0	3.45442014
200.0	3.4735108364
250.0	3.5034802518
300.0	3.5247377796
350.0	3.5410393551
400.0	3.5588733342000003
450.0	3.5762382475
500.0	3.5802499575
550.0	3.5985702121
600.0	3.6001677129000003
650.0	3.6121750332
700.0	3.620255319700001
750.0	3.6226243848
800.0	3.642615967
850.0	3.6493274659
900.0	3.6626636674
950.0	3.6589327983
1000.0	3.6766131796
1500.0	3.7532395966
2000.0	3.8074039792
2500.0	3.8313249646
3000.0	3.8918438091
3500.0	3.9138616359
4000.0	3.9512821893
4500.0	3.9672742828
5000.0	4.0128336105
5500.0	4.0287013708
6000.0	4.0568049151
6500.0	4.0614960307
7000.0	4.0843883052
7500.0	4.1290976277999984
8000.0	4.1261736151
8500.0	4.1433465623000005
9000.0	4.1525820128
9500.0	4.1721714138
10000.0	4.1630453316
11000.0	4.200718168
12000.0	4.187867078
13000.0	4.2485344489
14000.0	4.259167245
15000.0	4.2458275517000015
16000.0	4.2740468244
17000.0	4.2823194096
18000.0	4.3029028528
19000.0	4.2961177765
20000.0	4.3082787362
21000.0	4.3235244563
22000.0	4.3126232901
23000.0	4.3424211082
25000.0	4.3436382517
27000.0	4.3670670172
28000.0	4.3454085969
30000.0	4.37122027
35000.0	4.3627868123
40000.0	4.3881580191000005
45000.0	4.3932338567
50000.0	4.4073462367000005
55000.0	4.4340523107
60000.0	4.4149424094
70000.0	4.4310478618
80000.0	4.4430062968
90000.0	4.4336702075
100000.0	4.4336702075
