ESWMinima	None
Con1Maxima	58
Pressure	Loading
0.01	2.1225795505000002
0.01	2.1225795505000002
0.01	2.1225795505000002
0.01	2.1225795505000002
0.02	2.1493524484
0.02	2.1493524484
0.02	2.1493524484
0.04	2.1665867771
0.04	2.1665867771
0.04	2.1665867771
0.05	2.1696464205000003
0.05	2.1696464205000003
0.05	2.1696464205000003
0.05	2.1696464205000003
0.06	2.1749220785
0.06	2.1749220785
0.06	2.1749220785
0.08	2.1738760208000003
0.08	2.1738760208000003
0.08	2.1738760208000003
0.1	2.1787685263
0.1	2.1787685263
0.1	2.1787685263
0.1	2.1787685263
0.2	2.2127768578
0.2	2.2127768578
0.2	2.2127768578
0.4	2.2503000337
0.4	2.2503000337
0.4	2.2503000337
0.5	2.2578522992
0.5	2.2578522992
0.5	2.2578522992
0.5	2.2578522992
0.6	2.2772518468
0.6	2.2772518468
0.6	2.2772518468
0.8	2.2717118105000003
0.8	2.2717118105000003
0.8	2.2717118105000003
1.0	2.301184914
5.0	2.459071401
10.0	2.5303726452
20.0	2.5995323348
30.0	2.5965245923
40.0	2.6408648792
50.0	2.6552841971000003
60.0	2.660694054
70.0	2.6777106298
80.0	2.68062482
90.0	2.6825609814
100.0	2.6801849934
150.0	2.687099023
200.0	2.707334663
250.0	2.7049688241000003
300.0	2.705814714
350.0	2.7086267101
400.0	2.7114884467
450.0	2.7327292468
500.0	2.7186283685
550.0	2.7117453388
600.0	2.7295016412
650.0	2.7163303576
700.0	2.717905624
750.0	2.7163927593
800.0	2.7277017889
850.0	2.7135301183
900.0	2.7256744868
950.0	2.7322857525
1000.0	2.7317166006
1500.0	2.7259102266000004
2000.0	2.7578088074
2500.0	2.7471914722000004
3000.0	2.7582284363
3500.0	2.7505892003
4000.0	2.8171671572
4500.0	2.8207724389
5000.0	2.791039077
5500.0	2.7985954121
6000.0	2.8207808797000005
6500.0	2.8320400180000003
7000.0	2.8424920038
7500.0	2.8199444857
8000.0	2.8350669534
8500.0	2.8248119702
9000.0	2.8555576265
9500.0	2.8425432516000004
10000.0	2.8691105555000003
11000.0	2.8472750801
12000.0	2.8581890496
13000.0	2.8820668999000003
14000.0	2.8492442009
15000.0	2.8410557092
16000.0	2.8904365675
17000.0	2.8811504689
18000.0	2.9272300654000003
19000.0	2.9587362992000004
20000.0	2.8627998429000003
21000.0	2.8752132623000004
22000.0	3.0581639355
23000.0	3.0403613594
25000.0	2.9388581878
27000.0	3.006252944
28000.0	2.9381919666000003
30000.0	3.0319449658
35000.0	3.0311295232
40000.0	2.9797270905
45000.0	3.0428920956
50000.0	3.0216483815
55000.0	3.1422401471
60000.0	3.0851253952
70000.0	3.254047138
80000.0	3.1637401002
90000.0	3.1842135903
100000.0	3.1842135903
