ESWMinima	None
Con1Maxima	28
Pressure	Loading
1.0	16.8014726245
5.0	16.8787067117
10.0	16.9154810406
20.0	17.016805190699998
30.0	17.073302779000002
40.0	17.0843571895
50.0	17.144498160599998
60.0	17.169333042999998
70.0	17.2112111114
80.0	17.1871706654
90.0	17.239559796600002
100.0	17.2645938356
150.0	17.2722139682
200.0	17.3499564896
250.0	17.427303576
300.0	17.5204260163
350.0	17.4726970115
400.0	17.472252022
450.0	17.5006324922
500.0	17.612023529000002
550.0	17.5910281829
600.0	17.616845083
650.0	17.6340890524
700.0	17.6934606147
750.0	17.578468116
800.0	17.594527031800002
850.0	17.7171912198
900.0	17.727953809200002
950.0	17.803367518800002
1000.0	17.6518530939
1500.0	17.8037573226
2000.0	17.9547450432
2500.0	17.795457317100002
3000.0	18.0095162948
3500.0	17.9370060292
4000.0	18.0839847145
4500.0	18.0327145643
5000.0	17.9972575595
5500.0	18.0012894948
6000.0	18.2295383322
6500.0	18.2495962721
7000.0	18.0985785186
7500.0	18.0627674993
8000.0	18.1993010694
8500.0	18.3863228045
9000.0	18.346873658099998
9500.0	18.1914448021
10000.0	18.187474434400002
15000.0	18.3546724873
20000.0	18.500586125999998
25000.0	18.4786635098
30000.0	18.347422136400002
40000.0	18.600121996400002
50000.0	18.5267557892
60000.0	18.7827712966
70000.0	18.279564363800002
80000.0	18.574052568499997
90000.0	18.252929564000002
100000.0	18.6266389166
