ESWMinima	None
Con1Maxima	32
Pressure	Loading
1.0	11.9120134717
5.0	15.287345565199999
10.0	16.2350857277
20.0	16.861767146400002
30.0	17.1627632386
40.0	17.2933162997
50.0	17.3918463798
60.0	17.4506758548
70.0	17.5222075412
80.0	17.5489170821
90.0	17.5964922538
100.0	17.6112355774
150.0	17.7358615841
200.0	17.7960915731
250.0	17.838921003499998
300.0	17.868942265999998
350.0	17.8844879351
400.0	17.9084097029
450.0	17.9423637998
500.0	17.9797133697
550.0	17.9953409949
600.0	17.9857893126
650.0	18.0377702559
700.0	18.0376606291
750.0	18.0779275599
800.0	18.1012586316
850.0	18.1073194718
900.0	18.1128798097
950.0	18.129171638
1000.0	18.107252829700002
1500.0	18.2490225429
2000.0	18.3380539059
2500.0	18.4277598222
3000.0	18.613357805299998
3500.0	18.6008405497
4000.0	18.6350315904
4500.0	18.8565646622
5000.0	18.877865843
5500.0	18.944287791199997
6000.0	18.991695988
6500.0	19.0715545044
7000.0	19.0907973314
7500.0	19.165162785499998
8000.0	19.1878634504
8500.0	19.1426923052
9000.0	19.0286585902
9500.0	19.1780852801
10000.0	19.2375429177
15000.0	19.5084843998
20000.0	19.5429807163
25000.0	19.6149068161
30000.0	19.678755228099998
40000.0	19.6634923919
50000.0	19.719800952699998
60000.0	19.7462702758
70000.0	19.6863031588
80000.0	19.715743336
90000.0	19.7199516103
100000.0	19.726360975
