ESWMinima	None
Con1Maxima	67
Pressure	Loading
0.01	0.0329762888
0.01	0.0329762888
0.01	0.0329762888
0.01	0.0329762888
0.02	0.0632684611
0.02	0.0632684611
0.02	0.0632684611
0.04	0.1136334097
0.04	0.1136334097
0.04	0.1136334097
0.05	0.137308247
0.05	0.137308247
0.05	0.137308247
0.05	0.137308247
0.06	0.1546213797
0.06	0.1546213797
0.06	0.1546213797
0.08	0.1923946069
0.08	0.1923946069
0.08	0.1923946069
0.1	0.2260758152
0.1	0.2260758152
0.1	0.2260758152
0.1	0.2260758152
0.2	0.3364228282
0.2	0.3364228282
0.2	0.3364228282
0.4	0.4650958115
0.4	0.4650958115
0.4	0.4650958115
0.5	0.5130903714
0.5	0.5130903714
0.5	0.5130903714
0.5	0.5130903714
0.6	0.5443121078000001
0.6	0.5443121078000001
0.6	0.5443121078000001
0.8	0.6135336528
0.8	0.6135336528
0.8	0.6135336528
1.0	0.6752953606000001
5.0	1.234371925
10.0	1.7526109199000002
20.0	2.8180738461000003
30.0	3.8063921694
40.0	4.6600986354
50.0	5.4006575343
60.0	6.0128244736
70.0	6.5510956247
80.0	7.0295335385
90.0	7.4234207647
100.0	7.7553782959
150.0	8.896461836
200.0	9.6032233189
250.0	10.1623948004
300.0	10.6004545286
350.0	11.0099850126
400.0	11.413000559
450.0	11.7467411588
500.0	12.0096036045
550.0	12.2772316158
600.0	12.5299103471
650.0	12.729227253800001
700.0	12.9522907001
1500.0	15.482851995399999
2000.0	16.1160690726
2500.0	16.3747986615
3000.0	16.5466125483
3500.0	16.6599653458
4500.0	16.8302224304
50000.0	17.7733923668
70000.0	17.8860509929
70000.0	17.823584184
80000.0	17.925168215
90000.0	17.950593053800002
100000.0	17.9350555824
100000.0	17.9531205
