ESWMinima	None
Con1Maxima	32
Pressure	Loading
1.0	5.0088920904
5.0	11.425476921900001
10.0	12.6389674103
20.0	13.6184991276
30.0	14.1239103359
40.0	14.430367351800001
50.0	14.6491769107
60.0	14.8416798435
70.0	14.9581634979
80.0	15.0623050027
90.0	15.1673505885
100.0	15.230212513800002
150.0	15.5172013516
200.0	15.6896595345
250.0	15.8118274247
300.0	15.9173709646
350.0	15.9757897776
400.0	16.0755232252
450.0	16.1197390585
500.0	16.1122408469
550.0	16.2077709252
600.0	16.2105912405
650.0	16.2936297145
700.0	16.3439010261
750.0	16.342587911400003
800.0	16.3653612774
850.0	16.388928086900002
900.0	16.5301254528
950.0	16.418445893199998
1000.0	16.512652596800002
1500.0	16.689458986600002
2000.0	16.9514969349
2500.0	16.9678568326
3000.0	17.1032942949
3500.0	17.0617385493
4000.0	17.2536024095
4500.0	17.219085823900002
5000.0	17.1526066344
5500.0	17.2833270412
6000.0	17.3329040898
6500.0	17.4079447736
7000.0	17.3641295095
7500.0	17.3862799199
8000.0	17.4446467486
8500.0	17.4454472886
9000.0	17.503865674100002
9500.0	17.491591582799998
10000.0	17.5182594907
15000.0	17.5903073195
20000.0	17.7276954728
25000.0	17.8613322974
30000.0	17.874489778599997
40000.0	18.018254806199998
50000.0	17.9861424056
60000.0	17.9841611909
70000.0	18.0897827072
80000.0	17.9905388347
90000.0	18.1213359354
100000.0	18.0242435942
