ESWMinima	None
Con1Maxima	49
Pressure	Loading
0.01	4.8892254162
0.01	4.8892254162
0.01	4.8892254162
0.02	5.0654914277
0.02	5.0654914277
0.04	5.2338626526
0.04	5.2338626526
0.05	5.2965015518000005
0.05	5.2965015518000005
0.05	5.2965015518000005
0.06	5.3485574076999995
0.06	5.3485574076999995
0.08	5.424861611799999
0.08	5.424861611799999
0.1	5.5058172765
0.1	5.5058172765
0.1	5.5058172765
0.2	5.6875836164999996
0.2	5.6875836164999996
0.4	5.8722753506
0.4	5.8722753506
0.5	5.9016698950999995
0.5	5.9016698950999995
0.5	5.9016698950999995
0.6	5.9654939567
0.6	5.9654939567
0.8	6.0272231297
0.8	6.0272231297
1.0	6.0802704508000005
5.0	6.4321899038
10.0	6.5829193654
20.0	6.753340569600001
30.0	6.8504709984000005
40.0	6.8841128206
50.0	6.914252354299999
60.0	6.945997392100001
70.0	7.000237010599999
80.0	7.0086273725
90.0	7.010868845499999
100.0	7.0271652213
150.0	7.118495961900001
200.0	7.1560167643
250.0	7.1867353959
300.0	7.1764953624
350.0	7.2325734253
400.0	7.255139776799999
450.0	7.2762758541
500.0	7.322783849099999
550.0	7.3404339541
600.0	7.3561275183
650.0	7.3652482318
700.0	7.3528948424
750.0	7.269102133
800.0	7.367891474299999
850.0	7.3644982585
900.0	7.4043535527
950.0	7.3935824259
1000.0	7.448620861699999
1500.0	7.4358647059
2000.0	7.5181623479
2500.0	7.6385131448
3000.0	7.597752059199999
3500.0	7.617614624700002
4000.0	7.6613587623
4500.0	7.696171056900001
5000.0	7.7178247443
5500.0	7.673034106699999
6000.0	7.7845671698
6500.0	7.8194439951999986
7000.0	7.7901687538
7500.0	7.775985209299999
8000.0	7.8108560538
8500.0	7.778415500399999
9000.0	7.720114799
9500.0	7.8473995039
10000.0	7.773930298400002
11000.0	7.8465173213
12000.0	7.776734080800001
13000.0	7.7582216246
14000.0	7.8135301452
15000.0	7.8249168325
16000.0	7.768263554
17000.0	7.8336530372
18000.0	7.8786079921
19000.0	7.8582477529
20000.0	7.901887539600001
21000.0	7.9221105329
22000.0	7.8439537191
23000.0	7.938887269299999
25000.0	7.8884119446
27000.0	7.9031007177
28000.0	7.9031007177
30000.0	7.8489106251999985
35000.0	7.9694953067
40000.0	7.920293283999999
45000.0	7.888854216399999
50000.0	7.9329712159
55000.0	7.9462853266
60000.0	8.0131656275
70000.0	7.9792891862
80000.0	7.9943468863
90000.0	7.9950233575
100000.0	7.9950233575
