ESWMinima	None
Con1Maxima	68
Pressure	Loading
0.01	2.7361321856
0.01	2.7361321856
0.01	2.7361321856
0.02	2.774635953
0.02	2.774635953
0.04	2.7843719186
0.04	2.7843719186
0.05	2.7935048632
0.05	2.7935048632
0.05	2.7935048632
0.06	2.7912135131999998
0.06	2.7912135131999998
0.08	2.7988489664
0.08	2.7988489664
0.1	2.8011370709
0.1	2.8011370709
0.1	2.8011370709
0.2	2.8036543104000002
0.2	2.8036543104000002
0.4	2.8063474580000003
0.4	2.8063474580000003
0.5	2.8122134438
0.5	2.8122134438
0.5	2.8122134438
0.6	2.8105179745999997
0.6	2.8105179745999997
0.8	2.8179586956000002
0.8	2.8179586956000002
1.0	2.8207135084
5.0	2.8851192674
10.0	2.9480716743
20.0	3.0649052089
30.0	3.1873301567000003
40.0	3.2425715542
50.0	3.326016679
60.0	3.4106535655
70.0	3.4522030758
80.0	3.5688272082
90.0	3.5803201784
100.0	3.6437887557
150.0	3.774056352
200.0	3.8725775212
250.0	3.88249303
300.0	3.9615638183
350.0	4.0444938114
400.0	4.0459696225
450.0	4.0988672222
500.0	4.1422781785
550.0	4.175343722
600.0	4.1917777645
650.0	4.1288073773
700.0	4.2321342799
750.0	4.2334393757
800.0	4.3217086037
850.0	4.295171655
900.0	4.2957097004
950.0	4.2909664111
1000.0	4.3066684549000005
1500.0	4.4349707479000005
2000.0	4.4275424898
2500.0	4.6094432889
3000.0	4.6572726561
3500.0	4.6695330013
4000.0	4.6640988019
4500.0	4.8654114898000005
5000.0	4.6587214644
5500.0	4.8840997533
6000.0	4.8158312845
6500.0	4.9442926738
7000.0	4.8974313209
7500.0	4.9556453718
8000.0	4.9716278301
8500.0	5.0106767182
9000.0	5.045532241
9500.0	4.9492275796
10000.0	4.8106638684
11000.0	4.9811551076
12000.0	5.0866602857
13000.0	4.9427663621
14000.0	4.9924826852
15000.0	4.9331232189
16000.0	4.9965794632
17000.0	4.9637067046
18000.0	5.1120654502
19000.0	4.9042541563
20000.0	5.0449061766000005
21000.0	4.962949196
22000.0	5.12721757
23000.0	4.9760262485
25000.0	4.8888150011
27000.0	5.2016609998000005
28000.0	4.944508047699999
30000.0	5.2082632035000005
35000.0	5.2852385426
40000.0	4.8244684407
45000.0	5.1641839909
50000.0	5.2009911207
55000.0	5.06759171
60000.0	5.244486526
70000.0	5.192463404100001
80000.0	5.1582360877
90000.0	5.297644937099999
100000.0	5.297644937099999
