ESWMinima	None
Con1Maxima	14
Pressure	Loading
0.01	2.1836717985
0.01	2.1836717985
0.01	2.1836717985
0.02	2.2481314238
0.02	2.2481314238
0.04	2.2650324669
0.04	2.2650324669
0.05	2.2768388839
0.05	2.2768388839
0.05	2.2768388839
0.06	2.2997647012
0.06	2.2997647012
0.08	2.3003342822999997
0.08	2.3003342822999997
0.1	2.3181457213999996
0.1	2.3181457213999996
0.1	2.3181457213999996
0.2	2.2936153087
0.2	2.2936153087
0.4	2.3154946196
0.4	2.3154946196
0.5	2.3231300943
0.5	2.3231300943
0.5	2.3231300943
0.6	2.3223206141
0.6	2.3223206141
0.8	2.3270399487
0.8	2.3270399487
1.0	2.3247333968
5.0	2.3259323182
10.0	2.3271401461
20.0	2.3271692357
30.0	2.327174479
40.0	2.327160832
50.0	2.327179435
60.0	2.3271691639
70.0	2.3271873359
80.0	2.327189347
90.0	2.3271768493
100.0	2.3271690921
150.0	2.3271858994
200.0	2.3272246855
250.0	2.3272443658
300.0	2.3271889879
350.0	2.3271785013
400.0	2.3271799378
450.0	2.3272427856
500.0	2.3272320476
550.0	2.3272270916
600.0	2.3272332328
650.0	2.3272817154
700.0	2.3273120978
750.0	2.3272082373
800.0	2.3273596108000003
850.0	2.3271918609
900.0	2.3272750356
950.0	2.3272580128
1000.0	2.3274138036000003
1500.0	2.3274405229
2000.0	2.3272791297
2500.0	2.3275224047
3000.0	2.3277488724
3500.0	2.3281258518
4000.0	2.327631329
4500.0	2.3280411688
5000.0	2.3277646023
5500.0	2.3284529479
6000.0	2.3276751788
6500.0	2.3284511163
7000.0	2.3288722687
7500.0	2.3285362303
8000.0	2.3284922727
8500.0	2.328655282
9000.0	2.327996457
9500.0	2.3284515473
10000.0	2.3282767943
11000.0	2.3294920921
12000.0	2.3309071384
13000.0	2.329016316
14000.0	2.3290184708000004
15000.0	2.3291658579
16000.0	2.3287963126
17000.0	2.3287243428
18000.0	2.3302382936000003
19000.0	2.3311719612
20000.0	2.3303111253
21000.0	2.330104697
22000.0	2.3303753378
23000.0	2.3296502532
25000.0	2.3309286862
27000.0	2.3302999204
28000.0	2.3294502893
30000.0	2.3317283263
35000.0	2.3337898075
40000.0	2.3331060948
45000.0	2.3321289005000003
50000.0	2.3354242107
55000.0	2.3326503581
60000.0	2.3322069037
70000.0	2.3325527464
80000.0	2.3425140943
90000.0	2.3371193787
100000.0	2.3371193787
