ESWMinima	None
Con1Maxima	43
Pressure	Loading
0.01	3.4363395060000004
0.01	3.4363395060000004
0.01	3.4363395060000004
0.02	3.5581151632999997
0.02	3.5581151632999997
0.04	3.6756683010000004
0.04	3.6756683010000004
0.05	3.7178319884
0.05	3.7178319884
0.05	3.7178319884
0.06	3.7666239644
0.06	3.7666239644
0.08	3.8065293411
0.08	3.8065293411
0.1	3.8580537752999997
0.1	3.8580537752999997
0.1	3.8580537752999997
0.2	3.9896647342000002
0.2	3.9896647342000002
0.4	4.1239604922
0.4	4.1239604922
0.5	4.1703462919
0.5	4.1703462919
0.5	4.1703462919
0.6	4.2040747163
0.6	4.2040747163
0.8	4.2805521803
0.8	4.2805521803
1.0	4.3021548938
5.0	4.5464003213
10.0	4.6128753101
20.0	4.6505002166
30.0	4.6650170321
40.0	4.6711530872
50.0	4.677896490899999
60.0	4.6802571262
70.0	4.6868147
80.0	4.6861514638
90.0	4.6875870227
100.0	4.687808373
150.0	4.6977965098
200.0	4.7027298433
250.0	4.7006517412
300.0	4.7094471771
350.0	4.7086698848
400.0	4.7141492211000005
450.0	4.7134732758
500.0	4.710038272799999
550.0	4.7254574758
600.0	4.726380719100001
650.0	4.73783688
700.0	4.7188247879
750.0	4.7321904923
800.0	4.7287297044
850.0	4.7404173178
900.0	4.7422394861
950.0	4.7464943488
1000.0	4.759121947300001
1500.0	4.7840052807
2000.0	4.7947389777
2500.0	4.8162936247
3000.0	4.8355320367
3500.0	4.8818068761
4000.0	4.9019530118
4500.0	4.930975115
5000.0	4.9454820728
5500.0	4.9515649696
6000.0	4.9741896257
6500.0	4.9918836367
7000.0	5.0499912666
7500.0	5.0249171744
8000.0	5.0525933342
8500.0	5.0984057576
9000.0	5.0624378825
9500.0	5.040527136100001
10000.0	5.1495159238
11000.0	5.145560458299999
12000.0	5.1517776562
13000.0	5.341665658999999
14000.0	5.254021207
15000.0	5.3437629062
16000.0	5.283856082200001
17000.0	5.2639900357
18000.0	5.2836542029
19000.0	5.2816933342
20000.0	5.3622414602
21000.0	5.28378496
22000.0	5.4840567928
23000.0	5.3243834719
25000.0	5.3699292485
27000.0	5.422322056900001
28000.0	5.5352559227
30000.0	5.549112760800001
35000.0	5.5253726361
40000.0	5.5611974114999985
45000.0	5.5313256311000005
50000.0	5.5712104777
55000.0	5.5302306926
60000.0	5.6030492370000005
70000.0	5.675915685
80000.0	5.7388511872
90000.0	5.7200952324
100000.0	5.7200952324
