ESWMinima	None
Con1Maxima	53
Pressure	Loading
1.0	1.1552920144
5.0	3.9749981773000003
10.0	5.6545239901999995
15.0	6.9372106864
20.0	7.9874439142
25.0	8.9407030401
30.0	9.8443750264
35.0	10.665890498200001
40.0	11.321838435
45.0	11.9469102788
50.0	12.5350605359
55.0	12.989896959100001
60.0	13.4394438679
65.0	13.819644154
70.0	14.2149229894
75.0	14.5022683196
80.0	14.8160584326
85.0	15.127316676900001
90.0	15.3517246948
95.0	15.6596844726
100.0	15.863308867799999
150.0	17.7292647568
200.0	19.1476478676
250.0	20.4867981353
300.0	21.742619990300003
350.0	23.019047924200002
400.0	24.459729495700003
450.0	25.9874716825
500.0	27.3923214076
550.0	28.6890268784
600.0	30.0415223694
650.0	31.233967236599998
700.0	32.3164777421
750.0	33.1964517929
800.0	34.0458382483
850.0	34.861293918499996
900.0	35.4020111402
950.0	36.0477381056
1000.0	36.5425620559
1500.0	40.5858029877
2000.0	43.180600986
2500.0	44.8805565934
3000.0	46.5526620042
3500.0	48.020528859799995
4000.0	49.4704239104
4500.0	52.2015689279
5000.0	54.1929181921
5500.0	54.6975033713
6000.0	55.2031648826
6500.0	55.5183563602
7000.0	56.0803140676
7500.0	56.318598950900004
8000.0	56.6534214102
8500.0	57.0543083134
9000.0	57.21738519350001
9500.0	57.6319275045
10000.0	57.9631557108
15000.0	60.8560456237
20000.0	68.8513243292
