ESWMinima	None
Con1Maxima	None
Pressure	Loading
1.0	17.8788233818
5.0	21.3139861212
10.0	22.668871737399996
20.0	23.7609029618
30.0	24.283969530300002
40.0	24.653074661599998
50.0	24.972261593200002
60.0	25.16029427
70.0	25.4527508639
80.0	25.478208756199997
90.0	25.6997990142
100.0	25.7589225533
150.0	26.1565683449
200.0	26.4211309566
250.0	26.481652078099998
300.0	26.6864693858
350.0	26.7759777242
400.0	26.8149171008
450.0	26.822127025500002
500.0	26.953223694299997
550.0	27.077468696599997
600.0	27.039348919299997
650.0	27.066707556399997
700.0	27.085045537800003
750.0	27.1021787066
800.0	27.1491108501
850.0	27.1974523383
900.0	27.206095459
950.0	27.2116763138
1000.0	27.2416861919
1500.0	27.3769208812
2000.0	27.4835440916
2500.0	27.5063380822
3000.0	27.4814565396
3500.0	27.5219678901
4000.0	27.4925392626
4500.0	27.7472262508
5000.0	27.6403386351
5500.0	27.6113650591
6000.0	27.758998535
6500.0	27.6528100372
7000.0	27.6842007529
7500.0	27.848642465900003
8000.0	27.825229732600004
8500.0	27.9057353854
9000.0	28.0574586892
9500.0	27.652926189299997
10000.0	27.891200690799998
15000.0	27.970999384000002
20000.0	28.0875496777
25000.0	28.1203133896
30000.0	28.3225893189
40000.0	28.4798903736
50000.0	28.4994933673
60000.0	28.458001095100002
70000.0	28.1847902169
80000.0	28.5772937871
90000.0	28.449302022199998
100000.0	28.4869522902
